"행정구역(시군구)별","연령별","항목","단위","2025.04 월","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"서울특별시","51세","총인구수[명]","명","152046","153999","158739","156684","144996","155294","164022","165625","164432","167241","157344","152374",
"서울특별시","52세","총인구수[명]","명","154691","165944","151820","156280","154444","142798","153253","161482","161942","161616","165379","155429",
"서울특별시","53세","총인구수[명]","명","159802","171945","163569","149347","153733","151714","140798","150915","157807","158987","159648","163270",
"서울특별시","54세","총인구수[명]","명","160104","178049","169115","161060","146916","151001","149743","138608","147468","154862","157049","157640",
"서울특별시","55세","총인구수[명]","명","153385","167356","175117","166057","158349","144221","148790","147255","135282","144507","152744","154869",
"서울특별시","56세","총인구수[명]","명","154264","156193","164327","172023","163134","155417","142141","146459","143718","132474","142296","150401",
"서울특별시","57세","총인구수[명]","명","139249","156295","153273","161051","168880","159935","153039","139819","142986","140811","130464","140204",
"서울특별시","58세","총인구수[명]","명","132277","142734","153251","150331","158018","165629","157352","150635","136273","139968","138553","128533",
"서울특별시","59세","총인구수[명]","명","135142","150605","139861","150116","147497","154800","162867","154658","147043","133214","137813","136303",
"서울특별시","60세","총인구수[명]","명","136133","127542","147472","136764","147029","144310","152404","159897","150552","143794","131053","135577",
"서울특별시","61세","총인구수[명]","명","124663","112417","124636","144313","133804","143745","141959","149721","155565","147097","141351","128776",
"서울특별시","62세","총인구수[명]","명","141643","122221","110051","121914","141178","130874","141460","139410","145718","151898","144609","138973",
"서울특별시","63세","총인구수[명]","명","134747","85679","119334","107645","119297","138260","128754","138976","135678","142472","149541","142214",
"서울특별시","64세","총인구수[명]","명","149407","95094","83747","116678","105263","116760","136069","126456","135149","132670","140281","147150",
"서울특별시","65세","총인구수[명]","명","142037","96354","93155","81961","114400","103128","114979","133512","122872","132104","130606","138069",
"서울특별시","66세","총인구수[명]","명","131312","95181","94226","91255","80233","111910","101482","112961","129750","119972","130134","128429",
"서울특별시","67세","총인구수[명]","명","127326","97469","93095","92072","89224","78386","110044","99591","109670","126652","118290","128047",
"서울특별시","68세","총인구수[명]","명","118368","78719","95131","90835","89871","87224","76918","107975","96459","107089","124747","116489",
"서울특별시","69세","총인구수[명]","명","115382","69544","76905","92833","88753","87818","85733","75455","104509","94039","105326","122515",
"서울특별시","70세","총인구수[명]","명","117618","70375","67767","75089","90591","86655","86235","83992","72768","102029","92368","103648",
"서울특별시","71세","총인구수[명]","명","92273","69173","68503","65982","73185","88400","84893","84540","81019","70901","100301","90701",
"서울특별시","72세","총인구수[명]","명","95003","82269","67211","66730","64285","71356","86715","83055","81368","78774","69598","98441",
"서울특별시","73세","총인구수[명]","명","78849","65960","79812","65391","64933","62630","69827","84766","80058","79086","77304","68286",
"서울특별시","74세","총인구수[명]","명","71447","56411","64075","77388","63515","63177","61120","68193","81356","77691","77477","75705",
"서울특별시","75세","총인구수[명]","명","77060","55563","54571","62084","74898","61641","61736","59529","65393","78998","76056","75830",
